axis,value
ALIANZA SOCIAL AFROCOLOMBIANA ASA,770
ALIANZA SOCIAL INDIGENA,12527
  ASOCIACION AFROCOLOMBIANA INTERCAMBIO DE EXPERIENCIAS AIE,209
  ASOCIACION AFRODECENDIENTE REVIVIR FERMIN SALAS,549
  ASOCIACION AFROMONTELIBANENSE ANASTASIO SIERRA CIMARRON,202
  ASOCIACION CIVICA FUERZAS NEGRAS,180
  ASOCIACION COLECTIVO AFRODESCENDIENTES PRO DERECHOS HUMANO,212
  ASOCIACION DAMOS LA MANO ASODM,362
  ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA DEPORTE E,880
  ASOCIACION DE AFRODESCENDIENTES DEL MUNICIPIO DE NECOCLI A,384
  ASOCIACION DE COMUNIDADES AFROCOLOMBIANAS DEL MUNICIPIO DE,419
  ASOCIACION DE COMUNIDADES NEGRAS DE GUACOCHE- VALLEDUPAR C,261
  ASOCIACION DE DESPLAZADOS DE LA COSTA PACIFICA RESIDENTES,122
  ASOCIACION DE MUJERES AFROCOLOMBIANAS HIJAS DE YEMAYA,669
  ASOCIACION DE PROFESIONALES AFROCOLOMBIANOS ASOPRA,3184
  ASOCIACION KUAGRO SOCIAL LOS MARLINS AKUASOMAR,186
  ASOCIACION MISION COLOMBIA,989
  ASOCIACION NACIONAL DE ESTUDIANTES AFROCOLOMBIANOS ASNEA,1422
  ASOCIACION NUEVA VIDA,615
  ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE B,132
  ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE P,446
  ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DE S,310
  ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DEL,188
  CENTRO EXPERIMENTAL DE CULTURA MUSICA, CANTO, BAILE Y ETNO,42
  COMUNIDADES AFROCOLOMBIANAS Y NEGRITUDES ORGANIZADAS PARA,453
  CONSEJO COMUNITARIO DE CORDOBA Y SAN CIPRIANO DEL MUNICIPI,92
  CONSEJO COMUNITARIO DE LA INSPECCION DE POLICIA DE PUERTO,205
  CONVIVENCIA PACIFICA FUNDACION,263
  COPORACION PARA EL DESARROLLO Y CAPACITACION DE BUENAVENTU,362
  CORPORACION ABOSAO - CORABOSAO,199
  CORPORACION AFRO-CARTAGENA AFROCAR,171
  CORPORACION AFROCOLOMBIANA MALCOLM...X,89
  CORPORACION AFROETNICO,238
  CORPORACION CIMARRON,345
  CORPORACION COLONIA MURINDOSE?A COLOMU,80
  CORPORACION DE LIDERAZGO Y DESARROLLO EMPRESARIAL AFROCOLO,366
  CORPORACION NELSON MANDELA CORMANDELA,248
  CORPORACION SOCIAL E INTEGRAL DEL PACIFICO CORPOSINPAC,616
  FUNDACION AFRO Y CULTURA LA ESPERANZA - FACE,547
  FUNDACION AFROGUAJIRA FUNAGUA,347
  FUNDACION COMUNIDADES DEL PACIFICO COLOMBIANO FUNCOPACOL,150
  FUNDACION CULTURAL RAICES NEGRAS,1714
  FUNDACION DE DESARROLLO SOCIAL DEPORTIVA CULTURAL AMANDA S,123
  FUNDACION DEPORTIVA VIAFARA FUNDEVIA,175
  FUNDACION FUNDAPAS,764
  FUNDACION INTEGRACION SOCIAL AFROCOLOMBIANA FISA,636
  FUNDACION INTENSIDAD FUNDAIN,249
