axis,value
ALIANZA SOCIAL AFROCOLOMBIANA ASA,1396
ALIANZA SOCIAL INDIGENA,1650
COMPROMISO CIUDADANO POR COLOMBIA,22412
MOVIMIENTO APERTURA LIBERAL,16801
MOVIMIENTO DE AUTORIDADES INDIGENAS DE COLOMBIA AICO,846
MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA MIRA,77479
MOVIMIENTO SOCIAL E INDIGENA MSI,1262
PARTIDO ALAS,5960
PARTIDO CAMBIO RADICAL,119545
PARTIDO CONSERVADOR COLOMBIANO,158642
PARTIDO CRISTIANO DE TRANSFORMACION  Y ORDEN PACTO,18009
PARTIDO DE INTEGRACION NACIONAL PIN,43477
PARTIDO DE INTEGRACION SOCIAL COLOMBIANO PAIS,3543
PARTIDO LIBERAL COLOMBIANO,150442
PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,464490
PARTIDO VERDE,236791
POLO DEMOCRATICO ALTERNATIVO,217211
VOTOS BLANCOS,95434
VOTOS NO MARCADOS,35147
VOTOS NULOS,232847
